,Coefficient
vertical_drop,2.497192806328746
trams,1.024799241583894
fastEight,9.992007221626409e-16
fastSixes,0.9473801272859221
fastQuads,0.9397948870777472
quad,1.0131183321786592
triple,0.7526940086805948
double,0.1610908971360751
surface,1.239436716279636
total_chairs,0.4149156240883845
Runs,0.38459849134290647
TerrainParks,0.8565657968282501
LongestRun_mi,0.40293348601983603
SkiableTerrain_ac,1.2752234499801405
Snow Making_ac,1.2797699789644672
daysOpenLastYear,0.6885890237187996
yearsOpen,0.29389762548512105
averageSnowfall,0.6439418964737809
AdultWeekday,19.963951780816412
projectedDaysOpen,0.4266147359141913
NightSkiing_ac,1.2221135084585157
clusters,2.7170869277786163
